participant,age,sex,order,first_speed,block,speed,condition,trial_num,speed_actual,speed_response,correct
6191,25,male,1,4,1,4,near,1,faster,slower,FALSE
6191,25,male,1,4,1,4,near,2,faster,faster,TRUE
6191,25,male,1,4,1,4,near,3,faster,faster,TRUE
6191,25,male,1,4,1,4,near,4,faster,slower,FALSE
6191,25,male,1,4,1,4,near,5,faster,faster,TRUE
6191,25,male,1,4,1,4,near,6,slower,slower,TRUE
6191,25,male,1,4,1,4,near,7,faster,faster,TRUE
6191,25,male,1,4,1,4,near,8,slower,slower,TRUE
6191,25,male,1,4,1,4,near,9,slower,slower,TRUE
6191,25,male,1,4,1,4,near,10,slower,faster,FALSE
6191,25,male,1,4,1,4,near,11,slower,slower,TRUE
6191,25,male,1,4,1,4,near,12,faster,faster,TRUE
6191,25,male,1,4,1,4,near,13,slower,slower,TRUE
6191,25,male,1,4,1,4,near,14,faster,faster,TRUE
6191,25,male,1,4,1,4,near,15,slower,faster,FALSE
6191,25,male,1,4,1,4,near,16,faster,faster,TRUE
6191,25,male,1,4,1,4,near,17,slower,slower,TRUE
6191,25,male,1,4,1,4,near,18,slower,slower,TRUE
6191,25,male,1,4,1,4,near,19,slower,slower,TRUE
6191,25,male,1,4,1,4,near,20,faster,faster,TRUE
6191,25,male,1,4,2,7,far,1,faster,slower,FALSE
6191,25,male,1,4,2,7,far,2,slower,slower,TRUE
6191,25,male,1,4,2,7,far,3,faster,faster,TRUE
6191,25,male,1,4,2,7,far,4,slower,slower,TRUE
6191,25,male,1,4,2,7,far,5,slower,slower,TRUE
6191,25,male,1,4,2,7,far,6,faster,faster,TRUE
6191,25,male,1,4,2,7,far,7,slower,slower,TRUE
6191,25,male,1,4,2,7,far,8,faster,slower,FALSE
6191,25,male,1,4,2,7,far,9,slower,slower,TRUE
6191,25,male,1,4,2,7,far,10,faster,faster,TRUE
6191,25,male,1,4,2,7,far,11,faster,faster,TRUE
6191,25,male,1,4,2,7,far,12,slower,slower,TRUE
6191,25,male,1,4,2,7,far,13,slower,slower,TRUE
6191,25,male,1,4,2,7,far,14,faster,faster,TRUE
6191,25,male,1,4,2,7,far,15,faster,slower,FALSE
6191,25,male,1,4,2,7,far,16,faster,slower,FALSE
6191,25,male,1,4,2,7,far,17,slower,slower,TRUE
6191,25,male,1,4,2,7,far,18,slower,faster,FALSE
6191,25,male,1,4,2,7,far,19,faster,faster,TRUE
6191,25,male,1,4,2,7,far,20,slower,slower,NA
6191,25,male,1,4,3,4,mid,1,slower,slower,TRUE
6191,25,male,1,4,3,4,mid,2,slower,slower,TRUE
6191,25,male,1,4,3,4,mid,3,slower,faster,FALSE
6191,25,male,1,4,3,4,mid,4,faster,faster,TRUE
6191,25,male,1,4,3,4,mid,5,faster,faster,TRUE
6191,25,male,1,4,3,4,mid,6,faster,faster,TRUE
6191,25,male,1,4,3,4,mid,7,slower,faster,FALSE
6191,25,male,1,4,3,4,mid,8,slower,slower,TRUE
6191,25,male,1,4,3,4,mid,9,faster,faster,TRUE
6191,25,male,1,4,3,4,mid,10,slower,slower,TRUE
6191,25,male,1,4,3,4,mid,11,slower,slower,TRUE
6191,25,male,1,4,3,4,mid,12,slower,faster,FALSE
6191,25,male,1,4,3,4,mid,13,faster,faster,TRUE
6191,25,male,1,4,3,4,mid,14,faster,faster,TRUE
6191,25,male,1,4,3,4,mid,15,faster,slower,FALSE
6191,25,male,1,4,3,4,mid,16,faster,faster,TRUE
6191,25,male,1,4,3,4,mid,17,faster,faster,TRUE
6191,25,male,1,4,3,4,mid,18,slower,faster,FALSE
6191,25,male,1,4,3,4,mid,19,slower,slower,TRUE
6191,25,male,1,4,3,4,mid,20,faster,faster,TRUE
6191,25,male,1,4,4,7,near,1,slower,slower,TRUE
6191,25,male,1,4,4,7,near,2,slower,slower,TRUE
6191,25,male,1,4,4,7,near,3,slower,faster,FALSE
6191,25,male,1,4,4,7,near,4,faster,faster,TRUE
6191,25,male,1,4,4,7,near,5,slower,slower,TRUE
6191,25,male,1,4,4,7,near,6,faster,faster,TRUE
6191,25,male,1,4,4,7,near,7,slower,slower,TRUE
6191,25,male,1,4,4,7,near,8,faster,faster,TRUE
6191,25,male,1,4,4,7,near,9,slower,slower,TRUE
6191,25,male,1,4,4,7,near,10,faster,slower,FALSE
6191,25,male,1,4,4,7,near,11,faster,faster,TRUE
6191,25,male,1,4,4,7,near,12,slower,slower,TRUE
6191,25,male,1,4,4,7,near,13,faster,faster,TRUE
6191,25,male,1,4,4,7,near,14,faster,faster,TRUE
6191,25,male,1,4,4,7,near,15,slower,slower,TRUE
6191,25,male,1,4,4,7,near,16,faster,faster,TRUE
6191,25,male,1,4,4,7,near,17,slower,slower,TRUE
6191,25,male,1,4,4,7,near,18,faster,faster,TRUE
6191,25,male,1,4,4,7,near,19,faster,faster,TRUE
6191,25,male,1,4,4,7,near,20,slower,slower,TRUE
6191,25,male,1,4,5,4,far,1,faster,faster,TRUE
6191,25,male,1,4,5,4,far,2,slower,slower,TRUE
6191,25,male,1,4,5,4,far,3,slower,slower,TRUE
6191,25,male,1,4,5,4,far,4,slower,slower,TRUE
6191,25,male,1,4,5,4,far,5,faster,faster,TRUE
6191,25,male,1,4,5,4,far,6,faster,slower,FALSE
6191,25,male,1,4,5,4,far,7,faster,faster,TRUE
6191,25,male,1,4,5,4,far,8,faster,faster,TRUE
6191,25,male,1,4,5,4,far,9,faster,faster,TRUE
6191,25,male,1,4,5,4,far,10,slower,slower,TRUE
6191,25,male,1,4,5,4,far,11,slower,slower,TRUE
6191,25,male,1,4,5,4,far,12,faster,slower,FALSE
6191,25,male,1,4,5,4,far,13,slower,slower,TRUE
6191,25,male,1,4,5,4,far,14,faster,slower,FALSE
6191,25,male,1,4,5,4,far,15,slower,slower,TRUE
